"State","Year","Unemployment_Rate","IPC_Index","Expansion"
1,2011,9,-5,0
1,2012,7.1,-6,0
1,2013,6.5,-6,0
1,2014,6.8,-6,0
1,2015,6.1,-5,0
1,2016,6,-5,0
1,2017,4.4,-6,0
1,2018,3.9,-5,0
1,2019,3.2,-5,0
2,2011,7.6,0,0
2,2012,6.9,-1,0
2,2013,6.5,-1,0
2,2014,6.9,-1,0
2,2015,6.5,0,1
2,2016,6.6,0,1
2,2017,7,-1,1
2,2018,6.6,0,1
2,2019,5.5,-2,1
4,2011,9.5,-3,0
4,2012,8.3,-3,0
4,2013,8,-3,0
4,2014,6.8,-3,1
4,2015,6.1,-4,1
4,2016,5.3,-4,1
4,2017,4.9,-5,1
4,2018,4.8,-4,1
4,2019,4.9,-4,1
5,2011,8,0,0
5,2012,7.5,0,0
5,2013,7.5,0,0
5,2014,6.1,0,1
5,2015,5.2,-1,1
5,2016,4,-1,1
5,2017,3.7,-2,1
5,2018,3.7,-1,1
5,2019,3.5,-1,1
6,2011,11.7,1,0
6,2012,10.4,1,0
6,2013,8.9,4,0
6,2014,7.5,4,1
6,2015,6.2,4,1
6,2016,5.4,4,1
6,2017,4.8,3,1
6,2018,4.2,3,1
6,2019,4.1,3,1
8,2011,8.3,-2,0
8,2012,7.8,-2,0
8,2013,6.8,0,0
8,2014,5,0,1
8,2015,3.9,0,1
8,2016,3.3,0,1
8,2017,2.7,-1,1
8,2018,3.3,0,1
8,2019,2.6,0,1
9,2011,8.8,-2,0
9,2012,8.3,-3,0
9,2013,7.8,0,0
9,2014,6.6,0,1
9,2015,5.6,1,1
9,2016,5.1,1,1
9,2017,4.7,0,1
9,2018,4.1,1,1
9,2019,3.5,1,1
10,2011,7.3,-3,0
10,2012,7.1,-3,0
10,2013,6.7,-3,0
10,2014,5.7,-3,1
10,2015,4.9,0,1
10,2016,4.4,0,1
10,2017,4.5,-1,1
10,2018,3.8,0,1
10,2019,3.7,0,1
11,2011,10.2,-1,0
11,2012,9.1,-2,0
11,2013,8.3,0,0
11,2014,7.8,0,1
